iter	Passed	Remaining
1627	14910	30883
1628	14919	30873
1629	14928	30863
1630	14936	30853
1631	14945	30844
1632	14954	30834
1633	14963	30825
1634	14972	30815
1635	14981	30805
1636	14990	30796
1637	14999	30786
1638	15008	30777
1639	15019	30771
1640	15039	30783
1641	15053	30784
1642	15062	30776
1643	15072	30767
1644	15080	30757
1645	15089	30748
1646	15098	30738
1647	15108	30729
1648	15117	30720
1649	15126	30710
1650	15135	30701
1651	15144	30691
1652	15153	30682
1653	15161	30671
1654	15170	30661
1655	15179	30652
1656	15188	30642
1657	15197	30632
1658	15206	30622
1659	15215	30613
1660	15223	30603
1661	15233	30594
1662	15241	30584
1663	15250	30574
1664	15259	30564
